"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 4",2,0,1725729,36,7,"__amd_rocclr_copyBuffer",111,768620037137592,768620037139992,0,0,20,4,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 4",2,0,1725729,37,7,"__amd_rocclr_copyBuffer",112,768620037155032,768620037159032,0,0,20,4,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,38,19,"weno_test_driver_$ck_L1796_277",132,768621096122604,768621097743583,0,0,24,0,80,256,1,1,56320,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,39,35,"weno_test_driver_$ck_L1796_280",171,768621097816863,768621100273692,0,0,24,0,80,256,1,1,56320,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,40,18,"weno_test_driver_$ck_L1796_283",178,768621100300412,768621107565775,0,0,24,0,80,256,1,1,56320,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,41,62,"weno_test_driver_$ck_L1796_286",185,768621107592655,768621109518117,0,0,36,4,96,256,1,1,56320,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,42,17,"weno_test_driver_$ck_L1796_289",192,768621109546598,768621111857984,0,0,36,4,96,256,1,1,56320,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,43,43,"weno_test_driver_$ck_L1796_292",199,768621111885824,768621119285589,0,0,36,4,96,256,1,1,56320,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,44,20,"s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271",206,768621119629593,768621123311235,0,68,4,132,112,256,1,1,28160,1,1
"KERNEL_DISPATCH","Agent 4",1,1,1725729,45,20,"s_run_weno5_reconstruction$m_weno_standalone_$ck_L1722_271",209,768621123335190,768621126987231,0,68,4,132,112,256,1,1,28160,1,1
