"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"s_weno5_kernel_dispatch$m_weno_standalone_$ck_L1414_85",45,179763610,3994746.888889,34.14,3901483,4144526,95524.096496
"s_run_weno5_kernels$m_weno_standalone_$ck_L1692_214",15,111751970,7450131.333333,21.23,7332722,7592085,94460.209742
"s_run_weno5_kernels$m_weno_standalone_$ck_L1692_205",15,111199803,7413320.200000,21.12,7349363,7553204,56020.902662
"s_run_weno5_kernels$m_weno_standalone_$ck_L1692_202",15,36986332,2465755.466667,7.03,2346906,2588189,56318.062757
"s_run_weno5_kernels$m_weno_standalone_$ck_L1692_211",15,35405517,2360367.800000,6.72,2264185,2481947,64675.016816
"s_run_weno5_kernels$m_weno_standalone_$ck_L1692_208",15,26903821,1793588.066667,5.11,1783380,1800180,4687.545085
"s_run_weno5_kernels$m_weno_standalone_$ck_L1692_199",15,24268752,1617916.800000,4.61,1604818,1628178,5506.544550
"__amd_rocclr_copyBuffer",56,207363,3702.910714,0.0394,1760,6720,1143.415367
