"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",310,805539142,2598513.361290,64.99,70,251259792,15833288.939981
"MEMORY_COPY",257,316207796,1230380.529183,25.51,4480,1339376,329186.730800
"KERNEL_DISPATCH",87,114973637,1321536.057471,9.28,1760,7399765,1899496.061790
"MEMORY_ALLOCATION",33,2625315,79555.000000,0.2118,411,511680,147835.947241
"SCRATCH_MEMORY",1,65504,65504.000000,5.285e-03,65504,65504,0.00000000e+00
