"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_COPY_HOST_TO_DEVICE",143,170483034,1192189.048951,53.92,4480,1332335,378837.494341
"MEMORY_COPY_DEVICE_TO_HOST",114,145696677,1278041.026316,46.08,235043,1340015,246866.505278
