"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 4",1,0,1723393,51,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",337,765571891825405,765571898617318,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,52,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",342,765571898781160,765571907621576,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,53,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",343,765571907736777,765571912528028,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,54,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",344,765571912634430,765571917191599,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,55,5,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",345,765571917293360,765571921692447,1536,0,108,4,112,192,1,1,84480,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,56,10,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",346,765571921792288,765571923086222,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,57,7,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",347,765571923109423,765571928046916,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,58,13,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",348,765571928144837,765571936528767,0,0,36,4,64,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,59,8,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",353,765571936683489,765571938727191,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,60,14,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",358,765571938792152,765571945546144,0,0,48,0,80,256,1,1,112640,1,1
"KERNEL_DISPATCH","Agent 4",1,0,1723393,61,6,"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",363,765571945709743,765571954535917,0,0,48,0,80,256,1,1,112640,1,1
