"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_weno5_kernel_l502",45,206173098,4581624.400000,29.82,4361327,4830612,163613.825251
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_z_l378",15,132386061,8825737.400000,19.15,8777214,8852415,18376.017756
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_z_l319",15,125655915,8377061.000000,18.17,8346970,8418810,17771.734440
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_y_l358",15,101236931,6749128.733333,14.64,6627912,6836394,57376.116369
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_y_l302",15,75954898,5063659.866667,10.99,4858932,5239737,117630.975463
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_order1_copy_x_l338",15,30552968,2036864.533333,4.42,2013462,2111223,23957.341237
"__omp_offloading_8116438_7d0001d7__QMm_weno_standalonePs_initialize_weno_x_l285",15,19414287,1294285.800000,2.81,1285134,1311374,6078.585564
"__omp_dm_init_kernel",1,8480,8480.000000,1.227e-03,8480,8480,0.00000000e+00
