"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"KERNEL_DISPATCH",136,691382638,5083695.867647,68.22,8480,8852415,2445747.164209
"MEMORY_COPY",322,315742765,980567.593168,31.16,2560,26118680,4773621.460169
"MEMORY_ALLOCATION",175,6317435,36099.628571,0.6234,290,2303914,182330.295575
