"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_ALLOCATION_ALLOCATE",88,5052754,57417.659091,71.43,421,2937505,311149.391019
"MEMORY_ALLOCATION_FREE",87,2020489,23224.011494,28.57,261,728731,77210.935146
