Dispatch_ID,Kernel_Name,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,TCP_TCC_READ_REQ_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TCC_WRITE_REQ_sum,TCP_TCC_ATOMIC_WITH_RET_REQ_sum,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,wave_size_1,obj_1,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCP_TCC_ATOMIC_WITHOUT_RET_REQ_sum,wave_size_2,obj_2,SQ_LDS_IDX_ACTIVE,SQ_LDS_BANK_CONFLICT,Start_Timestamp,End_Timestamp
15,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531611010853,769531611015654
16,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,20.0,10.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531611034854,769531611038854
17,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531611056934,769531611060134
18,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,2.0,5.0,2.0,0.0,0.0,26.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531611079174,769531611081094
19,__amd_rocclr_copyBuffer.kd,4,1024,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,129.0,258.0,129.0,0.0,0.0,147.0,129.0,129.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643423056,769531643428816
20,__amd_rocclr_copyBuffer.kd,4,1024,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,129.0,258.0,129.0,0.0,0.0,151.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643446576,769531643450736
21,__amd_rocclr_copyBuffer.kd,4,1024,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,129.0,258.0,129.0,0.0,0.0,151.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643467216,769531643471536
22,__amd_rocclr_copyBuffer.kd,4,1024,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,129.0,258.0,129.0,0.0,0.0,152.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643487857,769531643492497
23,__amd_rocclr_copyBuffer.kd,4,1024,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,129.0,258.0,129.0,0.0,0.0,147.0,129.0,129.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643615378,769531643619218
24,__amd_rocclr_copyBuffer.kd,4,1024,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,129.0,258.0,129.0,0.0,0.0,151.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643636338,769531643640178
25,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643655058,769531643659538
26,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643674899,769531643676979
27,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643691379,769531643695219
28,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643710419,769531643713139
29,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643735219,769531643737619
30,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643752180,769531643756180
31,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643770420,769531643772660
32,__amd_rocclr_copyBuffer.kd,4,512,512,0,0,20,4,32,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,1.0,8.0,4.0,0.0,0.0,25.0,0.0,0.0,64,0x7fffe1275dc0,0,0,0,0,0,0,0,0,0.0,64,0x7fffe1275dc0,0,0,769531643788180,769531643790420
